,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_latent_dim,params_layer_sizes,params_lr,state
0,0,0.3405894689835035,2025-01-26 23:03:30.431360,2025-01-26 23:11:19.356412,0 days 00:07:48.925052,64,32,"[64, 32, 16]",0.00010899383209420783,COMPLETE
1,1,0.33170788333966184,2025-01-26 23:11:19.410367,2025-01-26 23:16:59.403736,0 days 00:05:39.993369,128,16,"[128, 64, 32]",0.001550266843360839,COMPLETE
2,2,0.41528607308864596,2025-01-26 23:16:59.609813,2025-01-26 23:20:30.938695,0 days 00:03:31.328882,64,32,"[128, 64, 32]",0.004860817181221775,COMPLETE
3,3,0.5739611332233135,2025-01-26 23:20:30.991287,2025-01-26 23:23:52.713283,0 days 00:03:21.721996,128,16,"[32, 16, 10]",0.0010273713131411868,COMPLETE
4,4,0.582702179138477,2025-01-26 23:23:52.756551,2025-01-26 23:26:13.840419,0 days 00:02:21.083868,128,32,"[128, 64, 32]",0.007737102289888323,COMPLETE
5,5,0.2645232842518733,2025-01-26 23:26:13.892966,2025-01-26 23:33:30.713862,0 days 00:07:16.820896,128,32,"[64, 32, 16]",0.00011506372668077753,COMPLETE
6,6,0.293142107129097,2025-01-26 23:33:30.758772,2025-01-26 23:38:23.922802,0 days 00:04:53.164030,64,32,"[128, 64, 32]",0.0005209207758954192,COMPLETE
7,7,0.3603052737621161,2025-01-26 23:38:23.971966,2025-01-26 23:44:28.940617,0 days 00:06:04.968651,64,8,"[128, 64, 32]",0.0007860905679287817,COMPLETE
8,8,0.37972574432690936,2025-01-26 23:44:28.988951,2025-01-26 23:51:20.006299,0 days 00:06:51.017348,256,16,"[128, 64, 32]",0.00024565111578680896,COMPLETE
9,9,0.6758976795456626,2025-01-26 23:51:20.048145,2025-01-26 23:55:25.057080,0 days 00:04:05.008935,256,32,"[32, 16, 10]",0.005924938686363259,COMPLETE
10,10,0.45972134929436903,2025-01-26 23:55:25.101893,2025-01-27 00:02:33.166857,0 days 00:07:08.064964,128,8,"[64, 32, 16]",0.00011930078714280734,COMPLETE
11,11,0.5336795903169191,2025-01-27 00:02:33.209832,2025-01-27 00:06:41.719808,0 days 00:04:08.509976,64,32,"[64, 32, 16]",0.00038928057619648607,COMPLETE
